,model,exp,pm1,mm1
GunPoint_fcn_mt_ae_ig,fcn_mt_ae,ig,0.8304111657316713,0.0019123790377569038
GunPoint_fcn_mt_conv_ig,fcn_mt_conv,ig,0.7211447699346812,0.003165769110390813
GunPoint_fcn_mt_nn_ig,fcn_mt_nn,ig,0.5211497973393653,0.004739889152504059
GunPoint_resnet_mt_ae_ig,resnet_mt_ae,ig,0.8811134167035384,0.0014633664224127827
GunPoint_resnet_mt_conv_ig,resnet_mt_conv,ig,0.8620194773303008,0.001813506596521991
GunPoint_resnet_mt_nn_ig,resnet_mt_nn,ig,0.6142350359532872,0.003907193592114062
Beef_fcn_mt_ae_ig,fcn_mt_ae,ig,0.5147797824682029,0.0015609211142346105
Beef_fcn_mt_conv_ig,fcn_mt_conv,ig,0.42324088769356544,0.0017336294873952227
Beef_resnet_mt_ae_ig,resnet_mt_ae,ig,0.3788159807282237,0.002242066684738224
Beef_resnet_mt_conv_ig,resnet_mt_conv,ig,0.25803788479608913,0.0022126369400737238
ECG200_fcn_mt_ae_ig,fcn_mt_ae,ig,0.6106674225465111,0.006323189937159234
ECG200_fcn_mt_conv_ig,fcn_mt_conv,ig,0.5360208888270435,0.00839684324320799
ECG200_fcn_mt_nn_ig,fcn_mt_nn,ig,0.48889956066628637,0.008447969304738612
ECG200_resnet_mt_ae_ig,resnet_mt_ae,ig,0.6322964685767891,0.007160835858598333
ECG200_resnet_mt_conv_ig,resnet_mt_conv,ig,0.6225504588583144,0.007841174771058267
ECG200_resnet_mt_nn_ig,resnet_mt_nn,ig,0.5599168487960682,0.00684057572917385
GunPoint_fcn_mt_ae_cam,fcn_mt_ae,cam,0.7609870381463162,0.0020565658478491336
GunPoint_fcn_mt_conv_cam,fcn_mt_conv,cam,0.6884593141567397,0.0028187730433464225
GunPoint_resnet_mt_ae_cam,resnet_mt_ae,cam,0.9188554431137312,0.0010661791883831444
GunPoint_resnet_mt_conv_cam,resnet_mt_conv,cam,0.8893106199095026,0.0014138471138055119
Beef_fcn_mt_ae_cam,fcn_mt_ae,cam,0.5321529179494603,0.0014716259811568622
Beef_fcn_mt_conv_cam,fcn_mt_conv,cam,0.46532838134522503,0.0017373423805500652
Beef_resnet_mt_ae_cam,resnet_mt_ae,cam,0.5644619098027018,0.0015069011120333936
Beef_resnet_mt_conv_cam,resnet_mt_conv,cam,0.35126330060949584,0.001818849171990432
ECG200_fcn_mt_ae_cam,fcn_mt_ae,cam,0.6448433804653242,0.005942541536531265
ECG200_fcn_mt_conv_cam,fcn_mt_conv,cam,0.5726815926596189,0.007937423592479991
ECG200_resnet_mt_ae_cam,resnet_mt_ae,cam,0.7743001899069857,0.004083108687600683
ECG200_resnet_mt_conv_cam,resnet_mt_conv,cam,0.753877594557515,0.004794036865830186
