,linear_output,tanh_output,conv1d_output,build_deep_nn,build_encoder
mean_corr_test_0,0.041774726247964,,,,
min_epo_0,100.0,,,,
min_mse_0,1.1061334609985352,,,,
min_mse_0,1.1061334609985352,0.9815608859062195,,,
min_epo_0,100.0,0.0,,,
mean_corr_test_0,0.041774726247964,0.0241802019523413,,,
min_mse_0,1.1061334609985352,0.9815608859062195,0.006131170783191919,,
min_epo_0,100.0,0.0,143.0,,
mean_corr_test_0,0.041774726247964,0.0241802019523413,0.4522038240126642,,
min_mse_0,1.1061334609985352,0.9815608859062195,0.006131170783191919,0.005674387793987989,
min_epo_0,100.0,0.0,143.0,100.0,
mean_corr_test_0,0.041774726247964,0.0241802019523413,0.4522038240126642,0.3193450576386915,
min_mse_0,1.1061334609985352,0.9815608859062195,0.006131170783191919,0.005674387793987989,0.002520996145904064
min_epo_0,100.0,0.0,143.0,100.0,117.0
mean_corr_test_0,0.041774726247964,0.0241802019523413,0.4522038240126642,0.3193450576386915,0.7866691562885421
