,dataset,model,pm1,mm1
0,GunPoint,ae,0.990994831041296,0.00014671378186880383
1,GunPoint,nn,0.9990187228304275,1.4031212971196807e-05
2,GunPoint,conv,0.9615252177205176,0.0005740305465660985
4,ECG200,ae,0.9964760142826585,8.07973055727432e-05
5,ECG200,nn,0.9978922758503292,4.085037283423982e-05
6,ECG200,conv,0.988418321954559,0.00024370581073835683
8,Beef,ae,0.9228385578341636,0.00033941351762692244
9,Beef,nn,0.9815176526231446,7.658439521845087e-05
10,Beef,conv,0.5351928587605403,0.0015103354845088558
