,exp,model,gamma,pm1,pm2,pm3,pm4,mm1,mm2,mm3,epoch_task_1,epoch_task_2
GunPoint_fcn_mt_ae_0.5,ig,fcn_mt_ae,0.5,0.9711950471923478,0.8022382249049633,0.8216225371045311,0.0,0.00042220033978150254,0.0039666388626210395,0.0046558475360287755,78,399
GunPoint_fcn_mt_conv_0.5,ig,fcn_mt_conv,0.5,0.7640267811040797,0.5754194046926215,0.7471426008448835,0.0,0.0031448758216416437,0.0037568365200422705,0.005065610595332131,104,292
GunPoint_resnet_mt_ae_0.5,ig,resnet_mt_ae,0.5,0.9915304420087803,0.5841117255277238,0.5901317115638632,0.0,0.00012161266757226254,0.0051361865852959454,0.005086473459496055,173,380
GunPoint_resnet_mt_conv_0.5,ig,resnet_mt_conv,0.5,0.9576182141523311,0.4431030190592453,0.4701856528149411,0.0,0.0006387117618568099,0.0050571415293961764,0.005606275492817937,54,386
GunPoint_fcn_mt_ae_0.75,ig,fcn_mt_ae,0.75,0.9664955265992258,0.8218583897925954,0.8439890673233171,0.0,0.00048621037219332824,0.004248458403162658,0.0049035350911840105,89,399
GunPoint_fcn_mt_conv_0.75,ig,fcn_mt_conv,0.75,0.6929989502944623,0.5338968748582313,0.7828739279428203,0.0,0.0035381716791402177,0.0029887252463959156,0.005226666763218225,108,390
GunPoint_resnet_mt_ae_0.75,ig,resnet_mt_ae,0.75,0.9838277661294907,0.6548083018056983,0.6575562644720009,0.0,0.00022831757083659746,0.004512124634347856,0.004516715736306498,171,397
GunPoint_resnet_mt_conv_0.75,ig,resnet_mt_conv,0.75,0.9578680856963233,0.7255986126458405,0.7514229827889893,0.0,0.000663514968641291,0.005659513641148806,0.005549508909697172,263,389
Beef_fcn_mt_ae_0.5,ig,fcn_mt_ae,0.5,0.5849637051425205,0.24606212792778545,0.436742740207797,0.0,0.0013905110726204044,0.0008552969889327263,0.0019085455207449875,394,399
Beef_fcn_mt_conv_0.5,ig,fcn_mt_conv,0.5,0.02592152854236368,-0.012391048735831531,0.32670321053897183,0.0,0.003574149359225994,0.001611550354088346,0.001942258575737654,311,339
Beef_resnet_mt_ae_0.5,ig,resnet_mt_ae,0.5,0.6324762680841174,0.38057854532143376,0.5268778049987264,0.0,0.0014934866514526544,0.002592403523158282,0.002150460788185664,351,397
Beef_resnet_mt_conv_0.5,ig,resnet_mt_conv,0.5,0.4002354691492778,0.22928602281703675,0.5900442849673114,0.0,0.0024710015089310813,0.0065638620289973915,0.00424310793128033,269,391
Beef_fcn_mt_ae_0.75,ig,fcn_mt_ae,0.75,0.6126954958439385,0.40742383803537424,0.58523781094217,0.0,0.0013240262211893802,0.0007419480350411808,0.001724476302184406,309,382
Beef_fcn_mt_conv_0.75,ig,fcn_mt_conv,0.75,0.09570199812166179,0.14483136175966974,0.4315749926311081,0.0,0.002891861263398076,0.0012541023180043945,0.001786650364510512,280,377
Beef_resnet_mt_ae_0.75,ig,resnet_mt_ae,0.75,0.8344613564753446,0.43736207708491925,0.4664880433770992,0.0,0.0006761388095899601,0.004160733782919123,0.004177322718891649,196,398
Beef_resnet_mt_conv_0.75,ig,resnet_mt_conv,0.75,0.2893195392795068,0.16329560021808937,0.5243666525565708,0.0,0.002750729087370037,0.005202346776301662,0.003368570885451243,221,393
ECG200_fcn_mt_ae_0.5,ig,fcn_mt_ae,0.5,0.9819886067581176,0.8654800841063732,0.8682623214365195,0.0,0.00035732350327910057,0.006437838067067787,0.006714682291515122,102,399
ECG200_fcn_mt_conv_0.5,ig,fcn_mt_conv,0.5,0.8993659091656445,0.7639969445634499,0.8238718052866504,0.0,0.0020273463323480893,0.00487260946421884,0.006550399669141596,62,358
ECG200_resnet_mt_ae_0.5,ig,resnet_mt_ae,0.5,0.9956760730484677,0.6292789425697314,0.628770433053387,0.0,9.317826843554481e-05,0.00835548508213833,0.008036657723919944,53,381
ECG200_resnet_mt_conv_0.5,ig,resnet_mt_conv,0.5,0.9683173510425849,0.6464471619658115,0.6502087915358916,0.0,0.0006503854705010586,0.007322268229909241,0.008098243834820667,118,395
ECG200_fcn_mt_ae_0.75,ig,fcn_mt_ae,0.75,0.9853156204311189,0.8681266949962084,0.8709687657219906,0.0,0.00029340164544125176,0.0057572293293196705,0.0061475628351380495,174,399
ECG200_fcn_mt_conv_0.75,ig,fcn_mt_conv,0.75,0.8495300496913242,0.7633335270138291,0.8528741059509954,0.0,0.002911189078815365,0.004716077989432961,0.006363147047503186,76,370
ECG200_resnet_mt_ae_0.75,ig,resnet_mt_ae,0.75,0.9836056723810406,0.6706496626233429,0.6844656161941906,0.0,0.00033189980564445,0.0073645374132320284,0.0072512796339113325,143,399
ECG200_resnet_mt_conv_0.75,ig,resnet_mt_conv,0.75,0.9344398242796668,0.5777418047624768,0.5975462455169537,0.0,0.0013997080629458798,0.008243528960738331,0.008354558313507045,83,399
